Index  Elem    Ion     Freq(ev)    Wavelength(A)
  176   Ca       XX  1.142586E+03  1.085120E+01
  177   Fe    XXIII  1.129183E+03  1.098000E+01
  178   Na        X  1.127129E+03  1.100000E+01
  179   Ne       IX  1.127129E+03  1.100000E+01
  180   Fe     XVII  1.124064E+03  1.103000E+01
  181   Na        X  1.118991E+03  1.108000E+01
  182   Na      X_x  1.118991E+03  1.108000E+01
  183   Fe     XXIV  1.114966E+03  1.112000E+01
  184   Na        X  1.107991E+03  1.119000E+01
  185   Ni       XX  1.107002E+03  1.120000E+01
  186   Ni      XXI  1.099151E+03  1.128000E+01
  187   Fe     XXIV  1.090451E+03  1.137000E+01
  188   Fe    XVIII  1.082832E+03  1.145000E+01
  189   Fe     XXII  1.078124E+03  1.150000E+01
  190   Fe    XXIII  1.078124E+03  1.150000E+01
  191   Ar    XVIII  1.071184E+03  1.157450E+01
  192   Ne       IX  1.068830E+03  1.160000E+01
  193   Ni       XX  1.068830E+03  1.160000E+01
  194   Ar    XVIII  1.065367E+03  1.163770E+01
  195   Ni     XXII  1.059694E+03  1.170000E+01
  196   Ni     XXIV  1.059694E+03  1.170000E+01
  197   Ar    XVIII  1.057715E+03  1.172190E+01
  198   Fe    XXIII  1.056084E+03  1.174000E+01
  199   Fe    XXIII  1.051605E+03  1.179000E+01
  200   Ar    XVIII  1.047377E+03  1.183760E+01
  201   Fe     XXII  1.041884E+03  1.190000E+01
  202   Fe      XXI  1.033202E+03  1.200000E+01
  203   Ar    XVIII  1.032927E+03  1.200320E+01
  204   Ni      XXI  1.024663E+03  1.210000E+01
  205   Fe     XVII  1.022972E+03  1.212000E+01
  206   Fe    XXIII  1.020446E+03  1.215000E+01
  207   Ca       XX  1.020169E+03  1.215330E+01
  208   Ne        X  1.019884E+03  1.215670E+01
  209   Na        X  1.017933E+03  1.218000E+01
  210   Fe      XXI  1.015432E+03  1.221000E+01
  211   Fe      XXI  1.012116E+03  1.225000E+01
  212   Ar    XVIII  1.011844E+03  1.225330E+01
  213   Ni      XXI  1.006366E+03  1.232000E+01
  214   Fe     XXII  1.005549E+03  1.233000E+01
  215   Ni      XIX  9.998729E+02  1.240000E+01
  216   Fe      XXI  9.990672E+02  1.241000E+01
  217   Fe     XVII  9.910811E+02  1.251000E+01
  218   Ni      XXI  9.879223E+02  1.255000E+01
  219   Fe      XXI  9.816646E+02  1.263000E+01
  220   Ni      XIX  9.793384E+02  1.266000E+01
  221   Ar    XVIII  9.786504E+02  1.266890E+01
  222   Fe     XVII  9.777937E+02  1.268000E+01
  223   Fe       XX  9.762539E+02  1.270000E+01
  224   Fe      XXI  9.739532E+02  1.273000E+01
  225   Ca    XVIII  9.686269E+02  1.280000E+01
  226   Fe       XX  9.686269E+02  1.280000E+01
  227   Ni      XIX  9.686269E+02  1.280000E+01
  228   Cl     XVII  9.554668E+02  1.297630E+01
  229   Cl     XVII  9.502747E+02  1.304720E+01
  230   Ni       XX  9.500708E+02  1.305000E+01
  231   Fe      XXI  9.493434E+02  1.306000E+01
  232   Cl     XVII  9.434558E+02  1.314150E+01
  233   Fe      XXI  9.392746E+02  1.320000E+01
  234   Cl     XVII  9.342354E+02  1.327120E+01
  235   Ar    XVIII  9.254973E+02  1.339650E+01
  236   Ne       IX  9.252556E+02  1.340000E+01
  237   Fe      XXI  9.245656E+02  1.341000E+01
  238   Cl     XVII  9.213433E+02  1.345690E+01
  239   Fe      XIX  9.156887E+02  1.354000E+01
  240   Fe    XVIII  9.116489E+02  1.360000E+01
  241   Ne       IX  9.116489E+02  1.360000E+01
  242   Ne       IX  9.049945E+02  1.370000E+01
  243   Cl     XVII  9.025372E+02  1.373730E+01
  244   Ni      XIX  8.984366E+02  1.380000E+01
  245   Fe     XVII  8.971364E+02  1.382000E+01
  246   Fe     XXII  8.919730E+02  1.390000E+01
  247   Ca    XVIII  8.856017E+02  1.400000E+01
  248   Ni      XIX  8.824501E+02  1.405000E+01
  249   Cl     XVII  8.729318E+02  1.420320E+01
  250   Fe    XVIII  8.634000E+02  1.436000E+01
  251    O     VIII  8.631055E+02  1.436490E+01
  252    O     VIII  8.616000E+02  1.439000E+01
  253    O     VIII  8.595572E+02  1.442420E+01
  254    O     VIII  8.567003E+02  1.447230E+01
  255    O     VIII  8.525414E+02  1.454290E+01
  256    S      XVI  8.463666E+02  1.464900E+01
  257    O     VIII  8.461240E+02  1.465320E+01
  258    S      XVI  8.417696E+02  1.472900E+01
  259   Fe      XIX  8.388650E+02  1.478000E+01
  260    S      XVI  8.357268E+02  1.483550E+01
  261    O     VIII  8.354902E+02  1.483970E+01
  262   Fe      XIX  8.287717E+02  1.496000E+01
  263    S      XVI  8.275547E+02  1.498200E+01
  264   Fe     XVII  8.265616E+02  1.500000E+01
  265   Ar    XVIII  8.263358E+02  1.500410E+01
  266   Cl     XVII  8.255215E+02  1.501890E+01
  267    S      XVI  8.161368E+02  1.519160E+01
  268    O     VIII  8.159059E+02  1.519590E+01
  269   Fe       XX  8.156858E+02  1.520000E+01
  270   Fe     XVII  8.103545E+02  1.530000E+01
  271   Fe     XVII  7.998984E+02  1.550000E+01
  272    S      XVI  7.994806E+02  1.550810E+01
  273   Fe    XVIII  7.744175E+02  1.601000E+01
  274    O     VIII  7.736009E+02  1.602690E+01
  275    S      XVI  7.732535E+02  1.603410E+01
  276   Ca      XVI  7.606395E+02  1.630000E+01
  277   Ca       XX  7.556789E+02  1.640700E+01
  278   Fe     XVII  7.380015E+02  1.680000E+01
  279   Cl     XVII  7.370713E+02  1.682120E+01
  280    S      XVI  7.312591E+02  1.695490E+01
  281   Fe     XVII  7.263283E+02  1.707000E+01
  282    O      VII  7.117350E+02  1.742000E+01
  283   Fe     XVII  6.985028E+02  1.775000E+01
  284    O      VII  6.965407E+02  1.780000E+01
  285   Ca       XV  6.888014E+02  1.800000E+01
  286   Ca    XVIII  6.888014E+02  1.800000E+01
  287    O      VII  6.630174E+02  1.870000E+01
  288    N      VII  6.608158E+02  1.876230E+01
  289    N      VII  6.596591E+02  1.879520E+01
  290    N      VII  6.580975E+02  1.883980E+01
  291    N      VII  6.559111E+02  1.890260E+01
  292    S      XVI  6.529095E+02  1.898950E+01
  293    O     VIII  6.527273E+02  1.899480E+01
  294    N      VII  6.527239E+02  1.899490E+01
  295   Si      XIV  6.479990E+02  1.913340E+01
  296    N      VII  6.478162E+02  1.913880E+01
  297   Ca      XIV  6.457513E+02  1.920000E+01
  298   Si      XIV  6.444791E+02  1.923790E+01
  299   Si      XIV  6.398526E+02  1.937700E+01
  300    N      VII  6.396711E+02  1.938250E+01
  301   Si      XIV  6.335974E+02  1.956830E+01
  302   Si      XIV  6.248544E+02  1.984210E+01
  303    N      VII  6.246781E+02  1.984770E+01
  304   Ca      XII  6.199212E+02  2.000000E+01
  305   Ca    XVIII  6.199212E+02  2.000000E+01
  306   Si      XIV  6.121016E+02  2.025550E+01
  307   Ar    XVIII  6.120986E+02  2.025560E+01
  308   Ca       XV  6.077659E+02  2.040000E+01
  309   Ca     XIII  5.960781E+02  2.080000E+01
  310    N      VII  5.922880E+02  2.093310E+01
  311   Si      XIV  5.920222E+02  2.094250E+01
  312   Ca    XVIII  5.904012E+02  2.100000E+01
  313    S      XIV  5.904012E+02  2.100000E+01
  314   Ca     XVII  5.740011E+02  2.160000E+01
  315    O      VII  5.740011E+02  2.160000E+01
  316    O      VII  5.687351E+02  2.180000E+01
  317   Ca      XIV  5.635647E+02  2.200000E+01
  318    O      VII  5.610147E+02  2.210000E+01
  319   Si      XIV  5.598696E+02  2.214520E+01
  320   Al     XIII  5.587342E+02  2.219020E+01
  321   Al     XIII  5.556991E+02  2.231140E+01
  322   Al     XIII  5.517080E+02  2.247280E+01
  323   Ca       XV  5.486029E+02  2.260000E+01
  324   Al     XIII  5.463161E+02  2.269460E+01
  325   Cl     XVII  5.459768E+02  2.270870E+01
  326   Ca       XV  5.449857E+02  2.275000E+01
  327   Al     XIII  5.387785E+02  2.301210E+01
  328    S      XIV  5.378926E+02  2.305000E+01
  329    N       VI  5.321212E+02  2.330000E+01
  330   Al     XIII  5.277834E+02  2.349150E+01
  331    N       VI  5.209422E+02  2.380000E+01
  332   Ca      XIV  5.140309E+02  2.412000E+01
  333   Al     XIII  5.104690E+02  2.428830E+01
  334   Si      XIV  4.998820E+02  2.480270E+01
  335    N      VII  4.997430E+02  2.480960E+01
  336    N       VI  4.959370E+02  2.500000E+01
  337   Ca       XI  4.862127E+02  2.550000E+01
  338    C       VI  4.854969E+02  2.553760E+01
  339    C       VI  4.846485E+02  2.558230E+01
  340    S      XVI  4.836352E+02  2.563590E+01
  341    C       VI  4.834994E+02  2.564310E+01
  342   Al     XIII  4.827445E+02  2.568320E+01
  343    C       VI  4.818946E+02  2.572850E+01
  344   Ca     XIII  4.805591E+02  2.580000E+01
  345    C       VI  4.795535E+02  2.585410E+01
  346   Ca      XII  4.768625E+02  2.600000E+01
  347   Mg      XII  4.760806E+02  2.604270E+01
  348    C       VI  4.759454E+02  2.605010E+01
  349   Mg      XII  4.734952E+02  2.618490E+01
  350   Mg      XII  4.700949E+02  2.637430E+01
  351    C       VI  4.699613E+02  2.638180E+01
  352   Mg      XII  4.655007E+02  2.663460E+01
  353   Ca       XI  4.592009E+02  2.700000E+01
  354   Mg      XII  4.590768E+02  2.700730E+01
  355    C       VI  4.589476E+02  2.701490E+01
  356   Ca      XII  4.541547E+02  2.730000E+01
  357   Ca       XV  4.508518E+02  2.750000E+01
  358   Mg      XII  4.497087E+02  2.756990E+01
  359    S      XII  4.459865E+02  2.780000E+01
  360    C       VI  4.351515E+02  2.849220E+01
  361   Si      XII  4.350324E+02  2.850000E+01
  362   Mg      XII  4.349546E+02  2.850510E+01
  363   Al     XIII  4.310217E+02  2.876520E+01
  364   Ca     XIII  4.305008E+02  2.880000E+01
  365   Ca   XIII_x  4.305008E+02  2.880000E+01
  366    N       VI  4.305008E+02  2.880000E+01
  367    N       VI  4.260627E+02  2.910000E+01
  368   Ca     XIII  4.217151E+02  2.940000E+01
  369    N       VI  4.202856E+02  2.950000E+01
  370   Ni    XVIII  4.160545E+02  2.980000E+01
  371   Mg      XII  4.113325E+02  3.014210E+01
  372    S      XIV  4.105439E+02  3.020000E+01
  373   Ca       XI  4.071732E+02  3.045000E+01
  374   Na       XI  4.000395E+02  3.099300E+01
  375    S       XI  3.999492E+02  3.100000E+01
  376    S     XIII  3.999492E+02  3.100000E+01
  377   Si      XII  3.999492E+02  3.100000E+01
  378   Na       XI  3.978674E+02  3.116220E+01
  379   Ca       XI  3.966227E+02  3.126000E+01
  380   Ca       XI  3.961158E+02  3.130000E+01
  381   Na       XI  3.950103E+02  3.138760E+01
  382   Na       XI  3.911496E+02  3.169740E+01
  383   Na       XI  3.857522E+02  3.214090E+01
  384   Ni    XVIII  3.850442E+02  3.220000E+01
  385   Ca      XII  3.840900E+02  3.228000E+01
  386    S      XIV  3.803198E+02  3.260000E+01
  387    C        V  3.780007E+02  3.280000E+01
  388   Na       XI  3.778798E+02  3.281050E+01
  389   Si      XII  3.768518E+02  3.290000E+01
  390    S      XII  3.723251E+02  3.330000E+01
  391    C        V  3.712103E+02  3.340000E+01
  392   Si      XIV  3.702824E+02  3.348370E+01
  393   Mg      XII  3.672606E+02  3.375920E+01
  394    C       VI  3.671584E+02  3.376860E+01
  395   Ni    XVIII  3.668173E+02  3.380000E+01
  396    S      XIV  3.668173E+02  3.380000E+01
  397   Ni    XVIII  3.657352E+02  3.390000E+01
  398   Na       XI  3.654830E+02  3.392340E+01
  399    S     XIII  3.542407E+02  3.500000E+01
  400    C        V  3.532315E+02  3.510000E+01
  401   Ca       XI  3.522280E+02  3.520000E+01
  402    S      XII  3.502380E+02  3.540000E+01
  403   Ca       XI  3.484661E+02  3.558000E+01
  404   Ca      XVI  3.482704E+02  3.560000E+01
  405    S     XIII  3.470032E+02  3.573000E+01
  406   Na       XI  3.456334E+02  3.587160E+01
  407   Fe      XVI  3.371886E+02  3.677000E+01
  408    S        X  3.360007E+02  3.690000E+01
  409    S       XI  3.350926E+02  3.700000E+01
  410    S     XIII  3.350926E+02  3.700000E+01
  411   Ne        X  3.306114E+02  3.750150E+01
  412   Ne        X  3.288157E+02  3.770630E+01
  413    S       XI  3.285221E+02  3.774000E+01
  414    S      XII  3.280006E+02  3.780000E+01
  415   Ne        X  3.264547E+02  3.797900E+01
  416   Ne        X  3.232646E+02  3.835380E+01
  417   Al     XIII  3.192747E+02  3.883310E+01
  418   Ne        X  3.188034E+02  3.889050E+01
  419   Al       XI  3.170953E+02  3.910000E+01
  420    S       XI  3.159639E+02  3.924000E+01
  421   Si        X  3.146808E+02  3.940000E+01
  422    S       IX  3.142023E+02  3.946000E+01
  423   Ne        X  3.122974E+02  3.970070E+01
  424   Fe      XVI  3.096510E+02  4.004000E+01
  425   Na       XI  3.086012E+02  4.017620E+01
  426    S        X  3.084185E+02  4.020000E+01
  427    C        V  3.076532E+02  4.030000E+01
  428    C        V  3.046296E+02  4.070000E+01
  429   Si      XII  3.031400E+02  4.090000E+01
  430   Mg        X  3.024006E+02  4.100000E+01
  431    S       XI  3.024006E+02  4.100000E+01
  432   Ne        X  3.020521E+02  4.104730E+01
  433    C        V  2.987572E+02  4.150000E+01
  434   Ni    XVIII  2.973243E+02  4.170000E+01
  435   Fe      XVI  2.939408E+02  4.218000E+01
  436   Ni     XVII  2.938015E+02  4.220000E+01
  437    S      XII  2.924157E+02  4.240000E+01
  438    S        X  2.917276E+02  4.250000E+01
